Loading parameters from parameters.yml: a success
Starting Simulation
day	diversity	tmrca	netau	serialInterval	antigenicDiversity	N	S	I	R	cases	meanLoad	antigenicTypes	cumulativeTypes
New ant mutant distance = 0.004107687775946097 Day = 1 Antigen Mutation on Type = 0
2630	7.959	7.201	1.522	0.033	0.000	4000	3982	18	0	6	11.000	1	1
2640	7.868	7.212	1.612	0.029	0.000	4000	3983	17	0	6	11.000	1	1
2650	7.462	7.226	2.283	0.026	0.000	4000	3983	17	0	1	11.000	1	1
2660	8.635	7.247	3.914	0.035	0.000	4000	3982	18	0	3	11.000	1	1
2670	7.947	7.258	2.283	0.047	0.000	4000	3983	17	0	4	11.000	1	1
2680	7.829	7.329	1.712	0.051	0.000	4000	3983	17	0	6	11.000	1	1
2690	8.482	7.329	2.107	0.039	0.000	4000	3983	17	0	0	11.000	1	1
2700	7.876	7.329	1.712	0.045	0.000	4000	3983	17	0	2	11.000	1	1
2710	8.131	7.370	2.107	0.044	0.000	4000	3982	18	0	3	11.000	1	1
2720	8.372	7.438	2.283	0.038	0.000	4000	3983	17	0	3	11.000	1	1
2730	7.883	7.463	1.712	0.040	0.000	4000	3983	17	0	4	11.000	1	1
2740	8.186	7.496	2.107	0.044	0.000	4000	3982	18	0	5	11.000	1	1
2750	8.827	7.484	3.425	0.080	0.000	4000	3982	18	0	1	11.000	1	1
2760	8.833	7.522	2.283	0.074	0.000	4000	3981	19	0	3	10.000	1	1
2770	9.105	7.540	3.044	0.069	0.000	4000	3981	19	0	6	10.000	1	1
2780	8.067	7.548	2.107	0.048	0.000	4000	3981	19	0	5	11.000	1	1
2790	8.611	7.564	3.914	0.047	0.000	4000	3981	19	0	5	11.000	1	1
2800	8.569	7.651	2.491	0.066	0.000	4000	3981	19	0	3	11.000	1	1
2810	9.466	7.692	4.566	0.068	0.000	4000	3980	20	0	4	11.000	1	1
2820	8.579	7.710	2.283	0.073	0.000	4000	3981	19	0	3	11.000	1	1
2830	8.922	7.727	4.566	0.096	0.000	4000	3982	18	0	4	10.000	1	1
2840	8.655	7.768	2.491	0.083	0.000	4000	3981	19	0	3	11.000	1	1
2850	8.518	7.767	2.491	0.067	0.000	4000	3981	19	0	2	11.000	1	1
2860	8.492	7.795	2.107	0.087	0.000	4000	3981	19	0	5	11.000	1	1
2870	8.134	7.785	2.283	0.078	0.000	4000	3980	20	0	3	11.000	1	1
2880	8.152	7.786	1.957	0.096	0.000	4000	3981	19	0	0	11.000	1	1
2890	8.870	7.832	1.957	0.085	0.000	4000	3981	19	0	3	11.000	1	1
2900	8.769	7.786	4.566	0.084	0.000	4000	3981	19	0	5	11.000	1	1
2910	8.596	7.862	2.283	0.085	0.000	4000	3981	19	0	4	11.000	1	1
2920	9.460	7.874	3.044	0.074	0.000	4000	3981	19	0	2	11.000	1	1
2930	8.859	8.014	3.044	0.091	0.000	4000	3981	19	0	5	11.000	1	1
2940	8.203	8.016	1.957	0.095	0.000	4000	3981	19	0	2	11.000	1	1
2950	8.365	8.068	2.740	0.084	0.000	4000	3982	18	0	4	11.000	1	1
2960	8.057	8.084	1.522	0.075	0.000	4000	3982	18	0	2	11.000	1	1
2970	8.948	8.100	2.740	0.108	0.000	4000	3981	19	0	2	11.000	1	1
2980	8.403	8.084	2.107	0.078	0.000	4000	3982	18	0	2	11.000	1	1
2990	9.520	8.177	4.566	0.095	0.000	4000	3981	19	0	6	11.000	1	1
3000	9.569	8.177	4.566	0.107	0.000	4000	3982	18	0	0	11.000	1	1
